NOC,Predicted Gold,Predicted Total Medal,Simulated Gold Mean,Simulated Gold Min,Simulated Gold Max,Simulated Total Medal Mean,Simulated Total Medal Min,Simulated Total Medal Max,One Simulation Gold,One Simulation Total Medal,2024 Gold,2024 Total Medal
科威特,0.0279769375920295,0.232068121433258,0.0,0,0,0.0,0,0,0,0,0,0
土库曼斯坦,0.0355247631669044,0.2319309711456298,0.0,0,0,0.0,0,0,0,0,0,0
厄立特里亚,0.0491223707795143,0.2291850447654724,0.0,0,0,0.0,0,0,0,0,0,0
莫桑比克,0.0266550406813621,0.2285032868385315,0.3333333333333333,0,1,0.0,0,0,0,0,0,0
利比里亚,0.0352132692933082,0.2283170819282531,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
英属维尔京群岛,0.031932033598423,0.2206211686134338,0.0,0,0,0.0,0,0,0,0,0,0
多米尼克,0.0420357510447502,0.2197158336639404,0.0,0,0,0.3333333333333333,0,1,0,0,1,1
赤道几内亚,0.0334157422184944,0.2162020802497863,0.0,0,0,0.0,0,0,0,0,0,0
瑙鲁,0.0338388755917549,0.2140076011419296,0.0,0,0,0.0,0,0,0,0,0,0
基里巴斯,0.0281868204474449,0.2132015526294708,0.3333333333333333,0,1,0.0,0,0,1,0,0,0
塞拉利昂,0.0352145954966545,0.2130538821220398,0.0,0,0,0.0,0,0,0,0,0,0
巴布亚新几内亚,0.0295087471604347,0.2113693356513977,0.0,0,0,0.0,0,0,0,0,0,0
圣多美和普林西比,0.0313450619578361,0.2108179628849029,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
汤加,0.0367577001452446,0.2105815410614013,0.0,0,0,0.0,0,0,0,0,0,0
多哥,0.0281718298792839,0.2098269760608673,0.0,0,0,0.0,0,0,0,0,0,0
所罗门群岛,0.0319252088665962,0.2088286876678466,0.0,0,0,0.0,0,0,0,0,0,0
列支敦士登,0.0311097018420696,0.2084640264511108,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
毛里求斯,0.0206570401787757,0.2076184153556823,0.0,0,0,0.0,0,0,0,0,0,0
毛里塔尼亚,0.0276188924908638,0.2068047821521759,0.0,0,0,0.0,0,0,0,0,0,0
莱索托,0.0269751027226448,0.2053401470184326,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
斯威士兰,0.0323175713419914,0.2043966948986053,0.3333333333333333,0,1,0.0,0,0,0,0,0,0
索马里,0.028436429798603,0.2036674916744232,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
越南,0.0018170848488807,0.2030593752861023,0.0,0,0,0.0,0,0,0,0,0,0
斯里兰卡,0.0385766103863716,0.2021485567092895,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
伯利兹,0.0275399461388587,0.2018602192401886,0.0,0,0,0.0,0,0,0,0,0,0
东帝汶,0.0305181965231895,0.2015343308448791,0.0,0,0,0.0,0,0,0,0,0,0
帕劳,0.0270407125353813,0.1999290883541107,0.0,0,0,0.6666666666666666,0,2,0,0,0,0
