,NOC,Predicted Gold,Predicted Total Medal,Simulated Gold Mean,Simulated Gold Min,Simulated Gold Max,Simulated Total Medal Mean,Simulated Total Medal Min,Simulated Total Medal Max,One Simulation Gold,One Simulation Total Medal,2024 Gold,2024 Total Medal
62,菲律宾,0.4086900651454925,1.246928095817566,1.0,0,3,1.3333333333333333,1,2,0,1,2,4
74,波多黎各,0.2280689179897308,0.7471897006034851,0.0,0,0,0.6666666666666666,0,1,0,1,0,2
77,卡塔尔,0.2397582828998565,0.7091076970100403,0.0,0,0,0.6666666666666666,0,1,0,1,0,1
78,巴拉圭,0.0365065112709999,0.6326426863670349,0.0,0,0,1.0,1,1,0,1,0,0
79,突尼斯,0.0630848184227943,0.5910980105400085,0.0,0,0,1.0,0,2,0,1,1,3
45,芬兰,0.9766093492507936,2.440816640853882,0.6666666666666666,0,2,1.6666666666666667,1,2,0,1,0,0
81,约旦,0.107012428343296,0.5853491425514221,0.3333333333333333,0,1,0.6666666666666666,0,1,0,1,0,1
195,坦桑尼亚,0.0190517082810401,0.1617295145988464,0.0,0,0,0.3333333333333333,0,1,0,1,0,0
30,瑞典,1.213495850563049,5.428132057189941,0.6666666666666666,0,1,3.0,1,4,1,1,4,11
54,哥伦比亚,0.3376294076442718,1.722793698310852,0.3333333333333333,0,1,1.0,0,2,0,1,0,4
159,冰岛,0.0302977338433265,0.1945860981941223,0.0,0,0,0.0,0,0,0,0,0,0
162,马拉维,0.0239825472235679,0.1884652078151703,0.0,0,0,0.0,0,0,0,0,0,0
161,萨尔瓦多,0.0364728942513465,0.1884832978248596,0.0,0,0,0.0,0,0,0,0,0,0
160,老挝,0.0257754847407341,0.19450643658638,0.0,0,0,0.6666666666666666,0,1,0,0,0,0
164,科摩罗,0.0222515389323234,0.1865966916084289,0.0,0,0,0.0,0,0,0,0,0,0
196,津巴布韦,0.016181357204914,0.1564010977745056,0.0,0,0,0.0,0,0,0,0,0,0
158,美属萨摩亚,0.0264267995953559,0.1957792043685913,0.0,0,0,0.0,0,0,0,0,0,0
156,巴巴多斯,0.0316427871584892,0.1971288621425628,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
155,塞舌尔,0.0288280621170997,0.1980442702770233,0.0,0,0,0.0,0,0,0,0,0,0
166,马耳他,0.0218518301844596,0.1852667033672332,0.3333333333333333,0,1,0.0,0,0,0,0,0,0
197,卢旺达,0.018133021891117,0.1546734571456909,0.0,0,0,0.0,0,0,0,0,0,0
153,马绍尔群岛,0.0264843925833702,0.1983671486377716,0.3333333333333333,0,1,0.0,0,0,0,0,0,0
198,阿富汗,0.0147987976670265,0.1488298177719116,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
152,纳米比亚,0.0302255079150199,0.1996287405490875,0.0,0,0,0.0,0,0,0,0,0,0
199,塞内加尔,0.0177098885178565,0.1374217867851257,0.0,0,0,0.0,0,0,0,0,0,0
151,图瓦卢,0.0276909470558166,0.1997442543506622,0.0,0,0,0.0,0,0,0,0,0,0
149,东帝汶,0.0305181965231895,0.2015343308448791,0.0,0,0,0.0,0,0,0,0,0,0
200,赞比亚,0.0,0.0396734997630119,0.0,0,0,0.0,0,0,0,0,0,1
165,乍得,0.0228627100586891,0.1860129237174987,0.0,0,0,0.0,0,0,0,0,0,0
187,美属维尔京群岛,0.0211830958724021,0.1741041839122772,0.0,0,0,0.0,0,0,0,0,0,0
167,巴勒斯坦,0.02482420951128,0.1848948001861572,0.0,0,0,0.0,0,0,0,0,0,0
168,马达加斯加,0.0305704548954963,0.1847879886627197,0.0,0,0,0.0,0,0,0,0,0,0
186,哥斯达黎加,0.0216566398739814,0.1743381023406982,0.0,0,0,0.0,0,0,0,0,0,0
185,安道尔,0.0212142989039421,0.1747281849384308,0.0,0,0,0.0,0,0,0,0,0,0
189,关岛,0.0284294858574867,0.1723238825798034,0.0,0,0,0.0,0,0,0,0,0,0
190,伊拉克,0.020961619913578,0.1693601012229919,0.3333333333333333,0,1,0.0,0,0,1,0,0,0
183,圣文森特和格林纳丁斯,0.0202786102890968,0.1752132475376129,0.0,0,0,0.0,0,0,0,0,0,0
146,越南,0.0018170848488807,0.2030593752861023,0.0,0,0,0.0,0,0,0,0,0,0
181,也门,0.0206627026200294,0.1754137575626373,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
180,黑山,0.0176838412880897,0.1758951544761657,0.0,0,0,0.0,0,0,0,0,0,0
179,刚果共和国,0.0207225754857063,0.1774863302707672,0.0,0,0,0.0,0,0,0,0,0,0
191,刚果民主共和国,0.0196940973401069,0.1672483086585998,0.3333333333333333,0,1,0.0,0,0,0,0,0,0
178,佛得角,0.0209729149937629,0.1777840554714203,0.0,0,0,0.0,0,0,0,0,0,1
177,洪都拉斯,0.0219039991497993,0.1782248616218567,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
176,巴哈马,0.0,0.1792449355125427,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
192,喀麦隆,0.0188854113221168,0.16573566198349,0.0,0,0,0.0,0,0,0,0,0,0
175,开曼群岛,0.0175364986062049,0.1803461611270904,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
193,安提瓜和巴布达,0.0181027129292488,0.1631527245044708,0.0,0,0,0.0,0,0,0,0,0,0
174,孟加拉国,0.0211667343974113,0.1803638041019439,0.0,0,0,0.0,0,0,0,0,0,0
194,瓦努阿图,0.0168937519192695,0.1625959873199463,0.0,0,0,0.0,0,0,0,0,0,0
173,马尔代夫,0.0229377225041389,0.1809852719306945,0.0,0,0,0.0,0,0,0,0,0,0
188,阿尔巴尼亚,0.0131380334496498,0.1730936765670776,0.0,0,0,0.0,0,0,0,0,0,2
169,柬埔寨,0.0223147496581077,0.1839097440242767,0.0,0,0,0.0,0,0,0,0,0,0
147,斯里兰卡,0.0385766103863716,0.2021485567092895,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
101,巴拿马,0.0774985924363136,0.3561225533485412,0.0,0,0,0.3333333333333333,0,1,0,0,0,1
145,索马里,0.028436429798603,0.2036674916744232,0.0,0,0,0.0,0,0,0,0,0,0
83,乌拉圭,0.1506827771663665,0.5321595072746277,0.3333333333333333,0,1,0.3333333333333333,0,1,1,0,0,0
103,冈比亚,0.0666354075074195,0.3407785296440124,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
102,布隆迪,0.0972465947270393,0.3523645401000976,0.0,0,0,0.3333333333333333,0,1,0,0,0,0
100,圣卢西亚,0.1081961318850517,0.3597616851329803,0.0,0,0,0.3333333333333333,0,1,0,0,1,2
99,阿曼,0.1070114597678184,0.3643086552619934,0.0,0,0,0.0,0,0,0,0,0,0
98,吉布提,0.0897926166653633,0.3715181946754455,0.3333333333333333,0,1,0.0,0,0,1,0,0,0
96,委内瑞拉,0.1419762074947357,0.3876001238822937,0.6666666666666666,0,1,0.3333333333333333,0,1,1,0,0,0
94,泰国,0.047561265528202,0.3969504237174988,0.3333333333333333,0,1,0.0,0,0,0,0,1,6
91,巴林,0.0817804113030433,0.4109200835227966,0.0,0,0,1.0,0,2,0,0,2,4
87,摩洛哥,0.1805821359157562,0.4361783862113952,1.0,1,1,1.0,0,2,1,0,1,2
86,叙利亚,0.1609508693218231,0.438034176826477,0.0,0,0,0.0,0,0,0,0,0,0
84,吉尔吉斯斯坦,0.1251783072948455,0.5259812474250793,0.3333333333333333,0,1,0.0,0,0,1,0,0,6
82,马里,0.1300264298915863,0.559356153011322,0.0,0,0,0.6666666666666666,0,2,0,0,0,0
107,巴基斯坦,0.0798650756478309,0.3160516023635864,0.0,0,0,0.0,0,0,0,0,1,1
80,难民奥林匹克队,0.1995712220668792,0.5890743136405945,0.3333333333333333,0,1,1.0,0,2,0,0,0,1
